original_index,img_link,budget_value,revenue_value,lang
16823,https://media.themoviedb.org/t/p/w300_and_h450_face/i8IcT4oBKL793qyo91P1RnhroiQ.jpg,40000000.0,51070807.0,English
4075,https://media.themoviedb.org/t/p/w300_and_h450_face/iLGjyrjuOxILTx9FFNm2ktqzaxt.jpg,,637769.0,English
4077,https://media.themoviedb.org/t/p/w300_and_h450_face/iC80ZNpFRuaL8BwzjoD1Zm02Inm.jpg,,50248.0,English
26737,https://media.themoviedb.org/t/p/w300_and_h450_face/eZi1QZ4LTqDPP0erEUPIHeeXhYm.jpg,,,Swedish
5920,https://media.themoviedb.org/t/p/w300_and_h450_face/8nLc5gGXs9UrGRuttNtwN118164.jpg,,,English
16824,https://media.themoviedb.org/t/p/w300_and_h450_face/eol3uD6whQKOKCmmhF7z39fq2Pe.jpg,36000000.0,83200000.0,English
26739,https://media.themoviedb.org/t/p/w300_and_h450_face/zyA8ITfknEPmc2ypcMbiQ5VQagM.jpg,1584402.0,,Swedish
4078,https://media.themoviedb.org/t/p/w300_and_h450_face/jXnFY4W719JokP3raXkILfM3jKU.jpg,,,English
5921,https://media.themoviedb.org/t/p/w300_and_h450_face/rjhJDaC7025umyBKvKHyOsocKDp.jpg,342000.0,770000.0,English
26740,https://media.themoviedb.org/t/p/w300_and_h450_face/gicmSeLG6Uh7BF1r1mxZHUQ8r26.jpg,4000000.0,52425855.0,English
16825,https://media.themoviedb.org/t/p/w300_and_h450_face/e7rcJQWplGZWz57yGlP87rlPmI.jpg,25000000.0,27122040.0,English
4080,https://media.themoviedb.org/t/p/w300_and_h450_face/lsyPs8pU6hIJCS5sw0H9Q8Tl1nJ.jpg,,,English
5922,https://media.themoviedb.org/t/p/w300_and_h450_face/jHVe5EHDFj9ac2F2aU86sWTGKnn.jpg,,,German
26741,https://media.themoviedb.org/t/p/w300_and_h450_face/sxgQDPNkky07l1bv9g8AyoB4jJp.jpg,,,English
5923,https://media.themoviedb.org/t/p/w300_and_h450_face/mrcdh66L6K1Nb5xPORuZufvE9aE.jpg,16000000.0,13100000.0,English
4079,https://media.themoviedb.org/t/p/w300_and_h450_face/tI2yl0z0nZpeMEl0bGn5z98eilk.jpg,,,English
